player1_id,player1_name,player2_id,player2_name,player1_wins,player2_wins,player1_weighted_wins,player2_weighted_wins,games
10220035,Marius Lamby Solvang,17978686,Ibra Alkhader,19,42,16.643653633052857,37.08189162306317,61
1006431,Pål Daud Fillipsveen,17978686,Ibra Alkhader,28,33,23.418187140485863,26.882434715557647,61
1024799,Stig Nesvik,1279214,Daniel Axeborg,27,34,3.6874753868126557,4.651683668327145,61
26005654,Jacob Sæther,44184394,Per Arne Grotthing,29,31,25.562411762512355,26.254262205795744,60
1024806,Lars Nitteberg,1946517,Ivan Tadic,22,38,3.0525538946072728,5.211249574316195,60
1510340,Andris Viksnins,2194859,Eivind Yoo Yong Jae Johansen,38,21,17.5617127119945,10.612168518565449,59
1006204,Egil Arne Sørensen,1272012,Erol Dane Mula,21,38,13.856941062472657,24.330843186798134,59
1006215,Emil Andreassen,1510340,Andris Viksnins,25,34,5.892383881327358,7.539709527308435,59
1277819,Lasse Kåring,1750663,Tore Mo,28,31,7.119375180312305,7.994654975914279,59
1006215,Emil Andreassen,1024799,Stig Nesvik,29,30,5.788697056409256,5.68253711856647,59
1006543,Trond Lid Cappelen,1902521,Tom-Henrik Sandvik,29,30,6.314056014081305,6.531782083532384,59
1708121,Petter Olsen,1902521,Tom-Henrik Sandvik,28,31,4.667175061740654,5.324023028275977,59
1751232,Øyvind Stenhaug,1969223,Ole Andreas Sandvik,19,40,3.3551552278465198,6.590051797971748,59
1279214,Daniel Axeborg,1946517,Ivan Tadic,35,24,4.83078768507402,3.3032218504239457,59
3185355,Ivar Lexi,3682319,Lasse Rognlien,36,22,28.813302546658385,17.867916460298726,58
1024799,Stig Nesvik,2252446,Tor Bugten,22,36,9.609813087197175,17.205283742803765,58
1024799,Stig Nesvik,6691281,Andreas Wahr-Hansen,34,24,9.62223055759186,6.74702452924232,58
2827292,Simen Jøndal,4797871,Johannes Ulsund,25,33,4.819900804937034,6.687380912180197,58
2576372,Fadil Mustafa,4742719,Adiil Lusjanii,33,25,5.834961142590594,4.420425108023175,58
1024806,Lars Nitteberg,1561576,Antonio Hagen,33,25,4.460418751578937,3.360121252071989,58
3185355,Ivar Lexi,6686119,Levi Pavdeja,26,31,19.647414459996995,23.926136290225454,57
42921529,Joshua Turla Tuppal,7719582,Astrid E. Pedersen,33,24,24.748314276952016,18.07053579110109,57
3428055,Rune Fevang,3595359,Øivind Bakken,24,33,5.239996636372161,7.187914586729722,57
1006163,Bjørn Bratteberg,26005654,Jacob Sæther,24,32,21.753796548874895,29.276644684402505,56
1006549,Umar Hayat Ali,44184394,Per Arne Grotthing,40,16,36.93743151402369,14.28271388655633,56
1006220,Erik Gårdelöf,3185355,Ivar Lexi,40,16,32.28409350731103,12.727936188842483,56
1006184,Christian Johannessen,6600268,Kim Soo Garmark,32,24,12.72740218667874,9.093437090896721,56
1024799,Stig Nesvik,8498578,Riaz Ali,18,38,11.25979424327596,24.1078026607493,56
16476664,Øystein Følling,51736666,Yakup Aliz,19,37,13.241549875077277,25.883344306734,56
17978686,Ibra Alkhader,53204752,Julianne Myhren-heyerdahl,50,5,40.85509447664677,4.22275740074305,55
1006220,Erik Gårdelöf,1006360,Lars Harby,38,17,20.969594661129026,10.659728857623486,55
1298131,Jack Nordby,5140422,Tomas Gryczon,36,19,26.857264949588757,14.950834831729045,55
1061867,Stig Ringebo,1272012,Erol Dane Mula,23,32,14.515177433379034,23.261219088001525,55
1510340,Andris Viksnins,2052753,Morten Falk,26,29,5.646574918506732,6.294985497786192,55
1015952,Marius Farås,1279214,Daniel Axeborg,16,39,2.1786136842385346,5.332500444651689,55
1298131,Jack Nordby,1510340,Andris Viksnins,34,20,19.478637391786588,12.124234566008026,54
43127857,Manabu Sekiguchi,51736666,Yakup Aliz,26,28,23.043532177576687,24.871645901953737,54
1006220,Erik Gårdelöf,54197755,Tom erik Lysenstøen,44,9,36.64250141179697,7.643012860866913,53
1024805,Audun Bjerve,3185355,Ivar Lexi,27,26,23.236987466144285,21.963952484405393,53
1042070,Henrik Olsson,17978686,Ibra Alkhader,27,26,20.82039656432163,20.00022838248007,53
1006220,Erik Gårdelöf,1047734,Ole Kristian Rudshavn,15,38,4.321243271472636,11.169585575945261,53
1081697,Giena Tanilon,6839980,Daniel Lorentzen-Styr,25,28,6.28613680086274,7.045394566487377,53
1902521,Tom-Henrik Sandvik,2947265,Bernjard David C Ruiz,28,25,4.806629491816514,4.291472606771361,53
11218942,Stein Amundsen,43127857,Manabu Sekiguchi,29,23,28.41729440233302,22.406739905738455,52
25743094,Mohamed Salkiny,6600268,Kim Soo Garmark,23,29,20.686163173983942,25.73409583927861,52
