tournament_id,name,url,starttime
8062145,Cara 3V 11 aug 2020,https://cuescore.com/tournament/Cara+3V+11+aug+2020/8062145,2020-08-11T13:53:00Z
8042084,Sommer B-side dobbel Cup,https://cuescore.com/tournament/Sommer+B-side+dobbel+Cup/8042084,2020-08-08T16:55:00Z
7954094,Oslo BK Sommerturnering III 2020,https://cuescore.com/tournament/Oslo+BK+Sommerturnering+III+2020/7954094,2020-08-08T11:00:00Z
8036336,Klubbturnering Oslo Bk,https://cuescore.com/tournament/Klubbturnering+Oslo+Bk/8036336,2020-08-05T16:00:00Z
8022417,OBK multismult Treningsturnering,https://cuescore.com/tournament/OBK+multismult+Treningsturnering/8022417,2020-08-03T17:50:00Z
8001220,Bård vant den første turneringa her er den andre,https://cuescore.com/tournament/B%C3%A5rd+vant+den+f%C3%B8rste+turneringa+her+er+den+andre/8001220,2020-08-02T00:17:00Z
8000974,Birthday shoot to kill TourbManeriMosoe,https://cuescore.com/tournament/Birthday+shoot+to+kill+TourbManeriMosoe/8000974,2020-08-01T20:02:00Z
7992398,Oslo BK X9 Sommer 2020,https://cuescore.com/tournament/Oslo+BK+X9+Sommer+2020/7992398,2020-07-29T16:20:00Z
7967707,Oslo BK X8 Sommer 2020,https://cuescore.com/tournament/Oslo+BK+X8+Sommer+2020/7967707,2020-07-15T16:50:00Z
7957658,Oslo BK KT X7 2020,https://cuescore.com/tournament/Oslo+BK+KT+X7+2020/7957658,2020-07-08T15:55:00Z
7957841,Corona 7 juli,https://cuescore.com/tournament/Corona+7+juli/7957841,2020-07-07T13:42:00Z
7913882,Oslo BK sommerturnering II,https://cuescore.com/tournament/Oslo+BK+sommerturnering+II/7913882,2020-07-04T11:00:00Z
7943313,Oslo BK KTX6 2020,https://cuescore.com/tournament/Oslo+BK+KTX6+2020/7943313,2020-07-01T15:55:00Z
7936221,OBKSUNSummerSuntournament,https://cuescore.com/tournament/OBKSUNSummerSuntournament/7936221,2020-06-26T16:40:00Z
7935822,Min turnering,https://cuescore.com/tournament/Min+turnering/7935822,2020-06-25T17:25:00Z
7934959,o SLO bk KT B SIDE,https://cuescore.com/tournament/o+SLO+bk+KT+B+SIDE/7934959,2020-06-24T18:40:00Z
7931895,Oslo BK KT X5 sommer 2020,https://cuescore.com/tournament/Oslo+BK+KT+X5+sommer+2020/7931895,2020-06-24T16:55:00Z
7921789,Oslo  BK KT summer X4 2020,https://cuescore.com/tournament/Oslo++BK+KT+summer+X4+2020/7921789,2020-06-17T15:59:00Z
7920098,Friendly Summer Scotch Match!,https://cuescore.com/tournament/Friendly+Summer+Scotch+Match%21/7920098,2020-06-13T17:17:00Z
7915337,Oslo BK KT X3 Turnering 2020,https://cuescore.com/tournament/Oslo+BK+KT+X3+Turnering+2020/7915337,2020-06-10T15:56:00Z
7916109,Brawl Brag Round Robin,https://cuescore.com/tournament/Brawl+Brag+Round+Robin/7916109,2020-06-09T17:10:00Z
7911168,Oslo BK Sommerturnering 1- 2020,https://cuescore.com/tournament/Oslo+BK+Sommerturnering+1-+2020/7911168,2020-06-06T11:00:00Z
7909544,Oslo BK KT X2 2020,https://cuescore.com/tournament/Oslo+BK+KT+X2+2020/7909544,2020-06-03T15:52:00Z
7906953,Oslo BK KT X1 (2020),https://cuescore.com/tournament/Oslo+BK+KT+X1+%282020%29/7906953,2020-05-27T15:55:00Z
7901831,Medlemsturnering Oslo BK,https://cuescore.com/tournament/Medlemsturnering+Oslo+BK/7901831,2020-05-20T15:43:00Z
7789404,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7789404,2020-04-20T16:00:00Z
7789411,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7789411,2020-03-30T16:00:00Z
7789761,Oslo BK KT 10 2020,https://cuescore.com/tournament/Oslo+BK+KT+10+2020/7789761,2020-03-11T17:00:00Z
7773340,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7773340,2020-03-09T17:00:00Z
7773350,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7773350,2020-03-09T17:00:00Z
7773355,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7773355,2020-03-09T17:00:00Z
7720085,Oslo BK KT 9 2020,https://cuescore.com/tournament/Oslo+BK+KT+9+2020/7720085,2020-03-04T17:15:00Z
7717314,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7717314,2020-03-02T17:00:00Z
7717316,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7717316,2020-03-02T17:00:00Z
7464011,Advancedturnering 2.3.2020,https://cuescore.com/tournament/Advancedturnering+2.3.2020/7464011,2020-03-02T17:00:00Z
7680814,MULTI Turnering,https://cuescore.com/tournament/MULTI+Turnering/7680814,2020-02-28T21:35:00Z
7704457,Svea Open 2020,https://cuescore.com/tournament/Svea+Open+2020/7704457,2020-02-28T16:40:00Z
7676374,Oslo BK KT 8 2020,https://cuescore.com/tournament/Oslo+BK+KT+8+2020/7676374,2020-02-26T17:15:00Z
7675289,Cara 25 okt 2020,https://cuescore.com/tournament/Cara+25+okt+2020/7675289,2020-02-25T16:44:00Z
7653715,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7653715,2020-02-24T17:00:00Z
7653829,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7653829,2020-02-24T17:00:00Z
7464008,Advancedturnering 24.2.2020,https://cuescore.com/tournament/Advancedturnering+24.2.2020/7464008,2020-02-24T17:00:00Z
7458097,OSLO BK KT 7 2020,https://cuescore.com/tournament/OSLO+BK+KT+7+2020/7458097,2020-02-19T17:10:00Z
7458089,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7458089,2020-02-17T17:00:00Z
7458087,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7458087,2020-02-17T17:00:00Z
7458076,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7458076,2020-02-17T17:00:00Z
7443104,OSLO BK KT 6 2020,https://cuescore.com/tournament/OSLO+BK+KT+6+2020/7443104,2020-02-12T17:00:00Z
7401861,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7401861,2020-02-10T17:00:00Z
7401857,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7401857,2020-02-10T17:00:00Z
7401855,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7401855,2020-02-10T17:00:00Z
7252171,Oslo Biljardklubb Klubbmesterskap 2020,https://cuescore.com/tournament/Oslo+Biljardklubb+Klubbmesterskap+2020/7252171,2020-02-08T12:00:00Z
7282943,Oslo BK KT 5 2020,https://cuescore.com/tournament/Oslo+BK+KT+5+2020/7282943,2020-02-05T17:00:00Z
7288744,Cara 3V 4 feb 2020,https://cuescore.com/tournament/Cara+3V+4+feb+2020/7288744,2020-02-04T16:02:00Z
7284516,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7284516,2020-02-03T17:00:00Z
7284519,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7284519,2020-02-03T17:00:00Z
7284870,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7284870,2020-02-03T17:00:00Z
7224607,Oppvarming til Nordisk 5 - 9,https://cuescore.com/tournament/Oppvarming+til+Nordisk+5+-+9/7224607,2020-01-30T19:15:00Z
7235266,Oslo BK KT 4 2020,https://cuescore.com/tournament/Oslo+BK+KT+4+2020/7235266,2020-01-29T17:15:00Z
7241042,Bragging Rights Brawl # 1 2020,https://cuescore.com/tournament/Bragging+Rights+Brawl+%2523+1+2020/7241042,2020-01-29T13:41:00Z
7214613,Bragging Rights Challenge #1,https://cuescore.com/tournament/Bragging+Rights+Challenge+%25231/7214613,2020-01-28T19:00:00Z
7235317,Cara 3Vant 28 jan 2020,https://cuescore.com/tournament/Cara+3Vant+28+jan+2020/7235317,2020-01-28T15:08:00Z
7222335,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7222335,2020-01-27T17:00:00Z
7222339,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7222339,2020-01-27T17:00:00Z
7162340,Oslo BK KT 3 2020,https://cuescore.com/tournament/Oslo+BK+KT+3+2020/7162340,2020-01-22T17:08:00Z
7171877,Cara 3V 21 jan 2020,https://cuescore.com/tournament/Cara+3V+21+jan+2020/7171877,2020-01-21T15:39:00Z
7162718,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7162718,2020-01-20T17:00:00Z
7162725,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7162725,2020-01-20T17:00:00Z
7162721,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7162721,2020-01-20T17:00:00Z
7126216,Oslo BK KT 2 2020,https://cuescore.com/tournament/Oslo+BK+KT+2+2020/7126216,2020-01-15T18:10:00Z
7126230,Bestefar turnering 3 Vant 14 jan 2020,https://cuescore.com/tournament/Bestefar+turnering+3+Vant+14+jan+2020/7126230,2020-01-14T15:10:00Z
7123094,Amatørturnering,https://cuescore.com/tournament/Amat%C3%B8rturnering/7123094,2020-01-13T17:00:00Z
7122956,Advancedturnering,https://cuescore.com/tournament/Advancedturnering/7122956,2020-01-13T17:00:00Z
7123029,Amatørturnering Nivå 2,https://cuescore.com/tournament/Amat%C3%B8rturnering+Niv%C3%A5+2/7123029,2020-01-13T17:00:00Z
7101780,OSLOBK KLUBBT I 2020,https://cuescore.com/tournament/OSLOBK+KLUBBT+I+2020/7101780,2020-01-08T17:15:00Z
